A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
57,306,344,Dwayne Holland,M,40,1324,1:12:38,01:52,152 / 609 / 712,07:50,5:22:02,20.87,91 / 396 / 429,05:47,3:55:56,09:00,59 / 277 / 322,10:44:10
58,309,347,Todd Losee,M,40,1329,1:07:19,01:44,60 / 313 / 361,05:29,5:20:06,20.99,84 / 370 / 401,05:06,4:07:08,09:25,84 / 393 / 462,10:45:06
59,310,348,Steve Crossley,M,40,1434,1:08:09,01:45,75 / 370 / 425,06:38,5:19:42,21.02,82 / 364 / 394,04:17,4:06:54,09:25,83 / 390 / 459,10:45:39
60,317,358,THOMAS ANDERSON,M,40,1106,56:27,01:27,4 / 28 / 29,06:05,5:25:29,20.65,109 / 457 / 502,04:22,4:15:54,09:46,114 / 481 / 585,10:48:15
61,319,360,Brad Douglass,M,40,1378,1:06:33,01:43,51 / 271 / 312,06:27,5:21:27,20.91,87 / 389 / 420,04:47,4:09:16,09:30,94 / 420 / 497,10:48:29
62,323,366,Don Wagner,M,40,1292,1:14:33,01:55,195 / 749 / 894,07:32,5:08:47,21.76,49 / 236 / 252,04:03,4:14:56,09:43,111 / 473 / 572,10:49:50
64,327,370,Jack Marmorstein,M,40,1132,1:18:55,02:02,267 / 986 / 1199,10:30,5:42:18,19.63,201 / 748 / 858,03:29,3:34:53,08:12,18 / 122 / 135,10:50:04
63,326,369,Tracy Johns,M,40,1273,1:13:17,01:53,166 / 661 / 783,10:27,5:24:38,20.7,103 / 436 / 475,03:21,3:58:23,09:05,67 / 300 / 354,10:50:04
65,328,371,Dominique Herzet,M,40,1354,1:10:55,01:50,111 / 487 / 567,11:08,5:18:50,21.08,77 / 351 / 378,15:14,3:54:04,08:56,54 / 255 / 298,10:50:10
66,334,377,Steve Sunbury,M,40,1036,59:26,01:32,7 / 55 / 57,07:53,5:37:16,19.92,179 / 654 / 737,07:10,3:59:24,09:08,70 / 317 / 372,10:51:07
67,335,378,Michael Watson,M,40,1376,1:11:21,01:50,121 / 512 / 601,08:50,5:17:08,21.19,68 / 320 / 344,06:50,4:07:17,09:26,85 / 397 / 466,10:51:24
68,337,380,Lance Chambers,M,40,1095,1:08:18,01:46,78 / 379 / 435,07:06,5:11:05,21.6,54 / 256 / 273,05:00,4:20:14,09:55,137 / 545 / 663,10:51:40
69,342,385,Jerome Grilhot,M,40,1082,1:09:15,01:47,89 / 411 / 474,08:56,5:27:54,20.49,117 / 488 / 538,06:12,4:00:06,09:09,72 / 325 / 380,10:52:21
70,351,396,RICHARD RUSH,M,40,1289,1:05:31,01:41,44 / 236 / 277,06:43,5:38:05,19.88,181 / 668 / 757,06:57,3:57:14,09:03,62 / 290 / 337,10:54:28
71,352,397,Joshua Schott,M,40,1257,1:11:43,01:51,130 / 539 / 632,08:17,5:34:24,20.1,160 / 604 / 680,06:07,3:54:02,08:55,53 / 254 / 297,10:54:31
72,354,400,THOMAS GLOOR,M,40,1146,1:10:19,01:49,103 / 467 / 545,09:09,5:00:34,22.36,24 / 144 / 155,07:18,4:27:47,10:13,160 / 632 / 767,10:55:05
