A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
99,523,636,Stephane De Baets,M,40,647,1:07:16,01:46,59 / 276 / 329,07:51,5:46:06,19.39,81 / 407 / 465,06:04,5:32:00,12:39,155 / 641 / 811,12:39:20
100,532,648,Vitaliy Chebotenko,M,40,634,1:06:12,01:44,52 / 242 / 288,11:51,6:23:23,17.5,163 / 688 / 818,13:03,4:49:27,11:02,101 / 457 / 569,12:43:58
101,534,651,Mike Hale,M,40,679,1:09:46,01:50,78 / 353 / 428,08:35,6:18:22,17.74,155 / 656 / 777,03:52,5:04:24,11:36,113 / 520 / 652,12:45:01
102,541,661,Steve ATKINS,M,40,607,1:18:11,02:03,134 / 578 / 702,05:29,5:55:29,18.88,107 / 487 / 564,10:25,5:17:13,12:05,132 / 576 / 728,12:46:48
103,542,662,Brett Kent,M,40,700,1:20:56,02:07,144 / 637 / 775,04:29,5:47:54,19.29,87 / 426 / 488,02:31,5:31:15,12:37,153 / 639 / 809,12:47:06
104,553,678,Neil Taylor,M,40,788,1:18:08,02:03,133 / 574 / 698,06:47,5:50:24,19.15,95 / 450 / 518,04:10,5:29:03,12:32,150 / 632 / 799,12:48:33
105,554,679,Javier Bouzada,M,40,620,1:10:54,01:51,85 / 392 / 475,07:04,5:59:03,18.69,117 / 524 / 606,05:08,5:26:32,12:27,145 / 616 / 780,12:48:43
106,555,680,Andrew Burke,M,40,629,1:08:37,01:48,70 / 311 / 372,06:32,6:22:43,17.53,162 / 685 / 813,05:53,5:05:11,11:38,114 / 521 / 653,12:48:58
107,556,681,Gerard Woods,M,40,809,1:11:04,01:52,89 / 397 / 481,10:28,5:56:20,18.83,109 / 496 / 574,11:04,5:20:32,12:13,137 / 590 / 745,12:49:31
108,563,688,Alf Müller,M,40,735,1:23:31,02:11,157 / 683 / 842,07:33,6:10:26,18.12,141 / 603 / 708,10:44,4:59:10,11:24,107 / 497 / 625,12:51:25
110,583,715,Harvey Smith,M,40,774,1:14:12,01:57,112 / 485 / 588,08:27,6:00:47,18.6,120 / 535 / 622,07:45,5:28:04,12:30,148 / 628 / 792,12:59:16
111,585,717,Michael Flynn,M,40,656,1:24:05,02:12,160 / 692 / 854,09:31,6:10:09,18.13,140 / 598 / 703,09:02,5:07:45,11:44,118 / 537 / 674,13:00:34
112,589,721,Joe Appelgryn,M,40,604,1:23:53,02:12,159 / 688 / 848,08:29,6:18:12,17.74,153 / 652 / 772,05:56,5:05:58,11:40,117 / 525 / 659,13:02:30
