A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
88,516,578,Patrick DE GOEDE,M,40,1199,1:07:35,01:44,56 / 353 / 388,05:34,5:41:45,19.66,65 / 359 / 385,03:36,5:00:53,11:29,156 / 705 / 828,11:59:23
89,523,585,Andre BESTER,M,40,987,1:11:01,01:50,87 / 521 / 570,06:53,5:37:07,19.93,49 / 302 / 322,05:36,5:00:01,11:27,153 / 702 / 823,12:00:38
90,529,592,Angelo PACHECO,M,40,996,1:25:28,02:12,208 / 1019 / 1177,11:29,6:04:15,18.45,135 / 658 / 717,06:54,4:13:41,09:40,55 / 271 / 314,12:01:47
91,533,597,Richard BETTS,M,40,1216,1:14:39,01:55,119 / 681 / 762,09:29,6:05:33,18.38,140 / 674 / 735,04:53,4:29:07,10:16,89 / 421 / 493,12:03:41
92,534,598,Howard WARRINGTON,M,40,1108,1:04:47,01:40,40 / 264 / 291,05:10,5:55:40,18.89,110 / 553 / 593,08:16,4:50:02,11:04,135 / 623 / 725,12:03:55
93,544,610,Lester CARY,M,40,1157,1:14:51,01:56,122 / 694 / 778,05:16,5:39:11,19.81,58 / 323 / 347,07:10,5:00:12,11:27,154 / 703 / 825,12:06:40
94,548,614,Fabrizio MORGIA,M,40,1064,1:20:29,02:05,175 / 905 / 1031,06:27,6:02:40,18.53,132 / 646 / 702,03:38,4:35:00,10:29,99 / 476 / 556,12:08:14
95,549,615,Chris HOWES,M,40,1029,1:06:11,01:42,47 / 318 / 350,04:00,5:30:24,20.34,37 / 223 / 237,03:48,5:24:03,12:22,200 / 882 / 1041,12:08:26
96,550,616,Roberto MONDEJAR,M,40,1218,55:28,01:26,1 / 43 / 48,03:07,5:04:29,22.07,7 / 49 / 49,03:03,6:02:22,13:49,237 / 1061 / 1258,12:08:29
97,565,631,Mark KAHN,M,40,1181,1:07:22,01:44,55 / 348 / 382,06:31,5:43:14,19.58,71 / 383 / 410,06:12,5:09:03,11:47,169 / 765 / 898,12:12:22
98,569,636,Robert DE MONK,M,40,1217,1:16:47,01:59,148 / 783 / 886,05:09,6:27:58,17.32,199 / 908 / 1016,05:23,4:18:06,09:51,63 / 314 / 370,12:13:23
99,571,639,Freddie MEYER,M,40,1069,1:26:00,02:13,216 / 1031 / 1195,07:09,6:12:30,18.04,160 / 749 / 828,06:53,4:21:17,09:58,73 / 349 / 410,12:13:49
100,594,668,Stuart WALKER,M,40,1239,1:25:37,02:13,212 / 1023 / 1183,09:01,6:25:11,17.45,194 / 889 / 994,05:09,4:13:11,09:39,54 / 267 / 310,12:18:09
101,599,674,Raymond Prout-Jones,M,40,1212,1:19:54,02:04,170 / 888 / 1011,07:49,5:50:09,19.19,93 / 469 / 504,10:09,4:51:33,11:07,137 / 635 / 739,12:19:34
102,600,676,Brent MORRIS,M,40,1015,1:03:16,01:38,27 / 224 / 247,05:52,5:42:54,19.6,69 / 379 / 405,06:05,5:21:34,12:16,199 / 868 / 1024,12:19:41
103,608,684,Martin PAINE,M,40,1184,1:11:43,01:51,94 / 554 / 605,05:06,5:58:50,18.73,115 / 598 / 642,03:26,5:02:04,11:31,159 / 718 / 843,12:21:09
104,612,689,Wynand MOUTON,M,40,1263,1:29:17,02:18,228 / 1078 / 1258,09:54,5:50:11,19.19,94 / 470 / 505,07:02,4:46:37,10:56,126 / 587 / 687,12:23:01
105,616,693,Marius JOUBERT,M,40,1177,1:26:02,02:13,217 / 1032 / 1196,10:42,6:01:34,18.59,127 / 634 / 686,07:44,4:37:17,10:35,105 / 489 / 574,12:23:19
106,618,697,Alan HAUPT,M,40,978,1:02:01,01:36,14 / 170 / 190,04:57,5:53:36,19,104 / 522 / 561,05:43,5:18:06,12:08,186 / 838 / 984,12:24:23
107,628,708,Brenton BLIGNAUT,M,40,1017,1:08:36,01:46,65 / 391 / 432,06:11,5:54:41,18.95,106 / 536 / 575,05:05,5:12:46,11:56,177 / 799 / 939,12:27:19
