A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
18,110,131,Mikael Poulsen,M,40,-,1:10:52,01:50,53 / 287 / 339,,5:10:40,21.63,16 / 89 / 98,,3:47:18,08:40,26 / 160 / 187,10:15:50
19,119,141,Bruno Mercier,M,40,-,1:02:11,01:36,20 / 125 / 146,,5:27:07,20.54,33 / 186 / 206,,3:45:32,08:36,20 / 147 / 172,10:19:59
20,121,143,Alejandro J Ithurriague,M,40,-,1:07:02,01:44,35 / 202 / 242,,5:21:23,20.91,26 / 146 / 165,,3:45:41,08:36,21 / 150 / 175,10:21:19
21,134,157,Wayne Strohman,M,40,-,1:21:34,02:06,114 / 564 / 689,,5:14:34,21.36,18 / 105 / 118,,3:42:19,08:29,19 / 135 / 156,10:26:28
22,139,162,Jeff Kumzi,M,40,-,1:01:55,01:36,18 / 109 / 128,,5:25:35,20.64,30 / 171 / 191,,3:52:31,08:52,33 / 194 / 228,10:27:56
23,141,164,Daniel Ballin,M,40,-,1:06:42,01:43,33 / 194 / 232,,5:05:38,21.99,13 / 65 / 72,,4:07:22,09:26,55 / 296 / 352,10:29:22
24,144,167,guillermo ocejo,M,40,-,1:22:55,02:08,125 / 613 / 748,,5:30:46,20.32,39 / 215 / 235,,3:28:48,07:58,11 / 72 / 86,10:31:06
25,158,183,Roberto Florencia,M,40,-,1:09:14,01:47,41 / 236 / 281,,5:25:11,20.67,29 / 168 / 188,,3:55:40,08:59,38 / 213 / 251,10:38:21
26,163,189,Andrew Johnston,M,40,-,1:04:05,01:39,23 / 144 / 171,,5:18:07,21.12,19 / 125 / 142,,4:12:39,09:38,66 / 339 / 406,10:40:25
27,165,191,Marcos Omelanczuk,M,40,-,1:20:12,02:04,99 / 519 / 628,,5:22:25,20.84,27 / 153 / 173,,3:51:50,08:50,31 / 189 / 223,10:41:18
28,169,196,Martin Liebeck,M,40,-,1:00:08,01:33,17 / 105 / 124,,5:10:17,21.66,15 / 88 / 97,,4:20:39,09:56,92 / 426 / 507,10:42:16
29,171,198,James Blair,M,40,-,1:22:54,02:08,124 / 612 / 747,,5:26:24,20.59,31 / 179 / 199,,3:46:46,08:39,24 / 156 / 183,10:42:42
30,182,209,Fernando Luccas,M,40,-,1:20:16,02:04,101 / 522 / 633,,5:32:18,20.22,47 / 235 / 257,,3:45:41,08:36,21 / 150 / 175,10:47:08
31,185,212,Marcel Nauer,M,40,-,1:21:33,02:06,113 / 563 / 688,,5:32:12,20.23,44 / 232 / 254,,3:47:46,08:41,27 / 162 / 189,10:48:25
32,187,214,Ulrich Haupt,M,40,-,1:03:12,01:38,21 / 131 / 152,,5:03:43,22.13,6 / 55 / 61,,4:36:22,10:32,123 / 572 / 698,10:49:13
33,190,217,Kevin Denston,M,40,-,1:07:15,01:44,36 / 208 / 250,,5:19:34,21.03,23 / 135 / 152,,4:16:05,09:46,77 / 378 / 455,10:50:15
34,200,227,Arturo Pando,M,40,-,1:12:09,01:52,66 / 345 / 408,,5:42:44,19.61,71 / 321 / 359,,3:52:29,08:52,32 / 193 / 227,10:53:58
35,207,235,Mark Woody,M,40,-,58:08,01:30,14 / 94 / 112,,5:40:16,19.75,66 / 302 / 335,,4:10:11,09:32,61 / 319 / 380,10:56:19
36,212,243,Robert Knell,M,40,-,1:26:39,02:14,150 / 730 / 893,,5:43:49,19.55,75 / 329 / 370,,3:38:14,08:19,17 / 112 / 133,10:58:52
37,213,245,Walter Sobrero,M,40,-,1:11:45,01:51,65 / 332 / 393,,5:33:21,20.16,50 / 247 / 269,,4:04:21,09:19,51 / 276 / 326,10:59:21
38,215,248,Paulo Cesar Granado,M,40,-,1:09:49,01:48,44 / 255 / 304,,5:24:07,20.73,28 / 161 / 181,,4:17:13,09:49,81 / 392 / 470,10:59:49
39,219,253,Rodrigo Gras,M,40,-,1:14:36,01:55,75 / 388 / 464,,5:32:15,20.23,46 / 234 / 256,,4:08:55,09:30,57 / 304 / 363,11:00:48
40,224,259,Danny Delgado,M,40,-,1:06:49,01:43,34 / 198 / 238,,5:31:27,20.27,42 / 222 / 242,,4:19:00,09:53,90 / 414 / 495,11:02:30
41,225,261,Michael E Sheils,M,40,-,1:22:07,02:07,119 / 589 / 721,,5:38:46,19.84,63 / 291 / 322,,3:53:33,08:54,36 / 200 / 234,11:03:20
42,226,262,Kurt Barth,M,40,-,1:05:47,01:42,28 / 169 / 205,,5:29:33,20.39,37 / 204 / 224,,4:20:12,09:55,91 / 421 / 502,11:03:51
43,233,273,Todd Knapp,M,40,-,1:12:30,01:52,68 / 356 / 421,,5:58:23,18.75,113 / 499 / 560,,3:46:33,08:38,23 / 155 / 182,11:09:13
44,234,275,Ron Ritz,M,40,-,1:30:50,02:21,173 / 839 / 1028,,7:07:59,15.7,246 / 1170 / 1431,,3:55:57,09:00,39 / 215 / 253,11:09:45
