A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
68,385,449,Jeong Woo Song,M,40,1415,1:29:29,02:19,281 / 1137 / 1420,05:50,6:25:45,17.42,149 / 674 / 771,03:33,4:07:50,09:27,33 / 183 / 217,12:12:27
69,387,451,MANUEL SANCHEZ,M,40,1266,1:02:06,01:36,19 / 147 / 178,05:07,5:31:31,20.27,25 / 163 / 178,06:33,5:27:16,12:29,180 / 728 / 898,12:12:33
70,389,454,MARK HOLLINGSWORTH,M,40,1433,1:11:35,01:51,104 / 516 / 617,06:54,6:14:35,17.94,105 / 551 / 618,04:13,4:36:03,10:32,77 / 354 / 419,12:13:20
71,393,460,SCOTT SCHRAML,M,40,91,1:17:29,02:00,174 / 800 / 969,06:52,5:52:53,19.04,55 / 321 / 355,06:48,4:50:37,11:05,101 / 454 / 545,12:14:39
72,404,473,Pete Flath,M,40,1202,1:03:24,01:38,31 / 204 / 241,05:16,5:57:06,18.82,65 / 363 / 403,04:59,5:06:32,11:41,136 / 568 / 693,12:17:17
73,411,483,MATT BACKUS,M,40,1152,1:05:00,01:40,41 / 247 / 291,08:17,6:01:21,18.6,72 / 408 / 454,08:21,4:56:29,11:18,115 / 490 / 591,12:19:28
74,419,492,Jeff Rasmussen,M,40,108,1:20:37,02:05,213 / 917 / 1120,10:02,5:52:15,19.08,52 / 318 / 351,04:55,4:52:59,11:10,109 / 467 / 563,12:20:48
75,421,494,Ed Elsner,M,40,1118,1:15:40,01:57,154 / 708 / 853,06:21,6:24:34,17.47,141 / 659 / 752,06:14,4:28:47,10:15,61 / 299 / 356,12:21:36
76,422,495,TERRY ROUSSET,M,40,1332,1:24:54,02:11,255 / 1049 / 1297,05:38,6:04:43,18.43,80 / 441 / 492,05:05,4:41:24,10:44,84 / 387 / 462,12:21:44
77,435,512,CHRISTOPHE JOB,M,40,1391,1:02:35,01:37,22 / 161 / 192,11:50,5:54:32,18.95,59 / 334 / 372,03:42,5:13:16,11:57,157 / 629 / 773,12:25:55
78,439,516,Michael Ricci,M,40,993,1:01:24,01:35,17 / 132 / 161,04:13,6:08:22,18.24,94 / 489 / 544,03:42,5:09:00,11:47,148 / 591 / 724,12:26:41
79,447,525,Werner Konrath,M,40,1180,1:11:10,01:50,98 / 494 / 589,12:49,6:08:02,18.26,93 / 487 / 542,13:14,4:43:48,10:49,86 / 405 / 484,12:29:03
80,453,533,JOSH MADER,M,40,1148,1:23:20,02:09,239 / 1010 / 1242,05:25,6:24:09,17.49,139 / 655 / 746,07:55,4:29:13,10:16,63 / 302 / 360,12:30:02
81,457,538,PATRICK O'CONNOR,M,40,1328,1:12:13,01:52,113 / 558 / 668,07:21,6:15:44,17.88,109 / 563 / 632,06:18,4:49:54,11:03,96 / 448 / 538,12:31:30
82,458,539,TIM RYAN,M,40,1096,1:10:41,01:49,95 / 466 / 557,05:51,5:53:14,19.02,56 / 324 / 358,05:36,5:16:20,12:04,163 / 648 / 797,12:31:42
83,460,541,SHAWN NELSON,M,40,1166,1:01:23,01:35,16 / 130 / 159,06:09,6:18:45,17.74,118 / 600 / 676,07:13,4:59:39,11:26,123 / 520 / 628,12:33:09
84,462,543,Dick Gunstone,M,40,1418,1:10:16,01:49,91 / 453 / 537,06:51,6:07:04,18.31,90 / 478 / 533,06:59,5:02:30,11:32,127 / 538 / 656,12:33:40
85,465,546,MICHAEL NAPOLI,M,40,1358,1:20:02,02:04,205 / 896 / 1094,06:11,5:57:05,18.82,64 / 362 / 402,03:08,5:07:31,11:44,142 / 581 / 710,12:33:57
86,467,548,Mario Orlando,M,40,1187,1:13:27,01:54,130 / 612 / 743,08:35,6:12:29,18.04,99 / 530 / 592,09:49,4:50:03,11:04,98 / 451 / 541,12:34:23
87,470,551,RALPH CLOVIS,M,40,82,1:21:32,02:06,224 / 947 / 1162,06:33,6:15:17,17.91,107 / 559 / 628,06:36,4:44:45,10:52,89 / 411 / 492,12:34:43
88,488,572,Robert Roach,M,40,1283,1:11:10,01:50,98 / 494 / 589,08:43,6:06:10,18.35,85 / 463 / 517,04:51,5:06:58,11:42,141 / 576 / 702,12:37:52
89,490,574,IVAN MCLEAN,M,40,1372,1:34:06,02:26,308 / 1211 / 1530,08:02,6:19:00,17.73,120 / 602 / 679,06:34,4:30:35,10:19,68 / 315 / 374,12:38:17
90,491,575,Scott Thompson,M,40,1141,1:13:44,01:54,134 / 626 / 758,11:40,6:03:25,18.49,78 / 430 / 481,12:18,4:57:36,11:21,117 / 503 / 605,12:38:43
91,496,582,RON MCVEAN JR,M,40,1387,1:14:17,01:55,141 / 656 / 793,07:45,6:31:23,17.17,167 / 722 / 829,07:22,4:39:26,10:39,80 / 371 / 442,12:40:13
92,500,588,Cam Mackenzie,M,40,1341,1:13:17,01:53,125 / 602 / 731,03:01,5:59:38,18.69,70 / 393 / 439,01:42,5:23:28,12:20,178 / 712 / 876,12:41:06
93,502,591,Joseph Jaffe,M,40,1363,1:29:23,02:18,278 / 1135 / 1417,08:07,6:26:55,17.37,155 / 682 / 783,05:36,4:32:24,10:23,73 / 328 / 391,12:42:25
94,503,592,John Smith,M,40,1135,1:12:07,01:52,111 / 550 / 658,05:45,6:03:23,18.49,77 / 429 / 480,03:40,5:18:17,12:08,166 / 660 / 812,12:43:12
95,511,603,PETRUS BOOYSEN,M,40,1177,1:17:43,02:00,179 / 811 / 984,07:12,5:58:39,18.74,69 / 377 / 422,04:30,5:17:32,12:07,164 / 658 / 808,12:45:36
96,516,609,TOMMY DALY,M,40,1181,1:20:15,02:04,208 / 906 / 1106,07:16,6:24:13,17.49,140 / 657 / 748,04:20,4:51:01,11:06,103 / 456 / 547,12:47:05
97,518,611,Ted Ornduff,M,40,1277,1:19:09,02:02,195 / 864 / 1050,07:06,6:15:33,17.89,108 / 562 / 631,06:36,4:58:55,11:24,120 / 512 / 617,12:47:19
98,519,612,BRIAN BUCKLES,M,40,1302,1:19:17,02:03,197 / 868 / 1057,08:08,6:46:44,16.52,198 / 860 / 1005,06:56,4:26:19,10:09,56 / 278 / 334,12:47:24
99,522,615,Paul Marmaro,M,40,1339,1:10:07,01:48,87 / 449 / 532,06:53,6:05:28,18.39,83 / 450 / 503,06:55,5:18:20,12:09,167 / 661 / 814,12:47:43
100,523,616,David Sacoman,M,40,1164,1:16:10,01:58,159 / 739 / 889,06:35,6:52:14,16.3,213 / 901 / 1061,04:32,4:28:18,10:14,60 / 296 / 353,12:47:49
101,527,620,Kirk Lacko,M,40,1427,1:11:35,01:51,104 / 516 / 617,12:15,6:05:00,18.41,82 / 445 / 498,15:03,5:04:30,11:37,133 / 555 / 680,12:48:23
102,533,627,Rob Zachary,M,40,1211,1:20:22,02:04,209 / 910 / 1110,06:19,6:27:28,17.34,157 / 688 / 790,02:58,4:52:13,11:09,107 / 461 / 556,12:49:20
